Title,Subtitle,Price,Location
"Reviva By SSI
NEW BOOKING","2, 3 BHK Apartment in Chandapura, Bangalore","2 BHK Apartment
₹79 - 82.02 L
3 BHK Apartment
₹99.41 L - 1.13 Cr","Nearby :
Surana Vidyalaya
Athreya Hospital
+3"
"Vmaks Laurel
NEW BOOKING","2, 3 BHK Apartment in Sarjapura Attibele Road, Bangalore","2 BHK Apartment
₹83.1 - 98.93 L
3 BHK Apartment
₹1.13 - 1.18 Cr","Nearby :
Harvest Intl School
National Highway 44
+3"
"Global Edifice Orlean
NEW BOOKING","2, 3 BHK Apartment in Electronic City Phase 2, Bangalore","2 BHK Apartment
₹75 - 80.69 L
3 BHK Apartment
₹91.78 L - 1.05 Cr","Nearby :
St. Peter's International Public School
Kempegowda International Airport
+3"
"Signature Premier
NEW BOOKING","3 BHK Apartment in Gunjur, Near Varthur, Bangalore","3 BHK Apartment
₹1.2 - 1.27 Cr","Nearby :
Kempegowda International Airport
The International School Bangalore
+3"
"Peram Eco City
NEW BOOKING","4 BHK Villa in Hoskote, Bangalore","4 BHK Villa
₹2.49 - 2.91 Cr",NA
"Amrutha Lake Vista
NEW BOOKING","3 BHK Apartment in Whitefield, Bangalore","3 BHK Apartment
₹1.65 - 2.21 Cr","Nearby :
Whitefield Station
Kempe Gowda Intl Airport
+3"
"Sanjeevini Aarna
NEW BOOKING","2, 3 BHK Apartment in Hoskote, Bangalore","2 BHK Apartment
₹75.2 L - 1.04 Cr
3 BHK Apartment
₹1.2 - 1.34 Cr","Nearby :
NH 75
Capstone High CBSE School
+3"
"SNN Estates Duomont
NEW BOOKING","3, 4, 6, 8 BHK Apartment in Kudlu Gate, Bangalore","3 BHK Apartment
₹4.5 - 4.77 Cr
4 BHK Apartment
₹5.71 - 6.26 Cr
6 BHK Apartment
₹9.37 - 9.45 Cr
8 BHK Apartment
₹11.4 Cr","Nearby :
Chennai-Bangalore hwy
Sahyadri Convent School
+3"
"Jeevans Allure
NEW BOOKING","2, 3 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹98 L - 1.09 Cr
3 BHK Apartment
₹1.34 - 1.5 Cr","Nearby :
Chrysalis High School
Kauvery Hospital
+3"
"Jagadhabi Premier 1
NEW BOOKING","2, 3 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹84 L - 1.06 Cr
3 BHK Apartment
₹1.2 - 1.5 Cr","Nearby :
VedaVihaan The Global School
National Highway 648
+3"
"5 Elements Natures Lap
NEW BOOKING","2, 3 BHK Apartment in Tumkur Road, Bangalore","2 BHK Apartment
₹98.88 L - 1.05 Cr
3 BHK Apartment
₹1.25 - 1.43 Cr","Nearby :
Chikkabidarakallu Metro
NICE Road
+3"
"Assetz Zen and Sato
NEW BOOKING","3, 4 BHK Apartment in Yelahanka, Bangalore","3 BHK Apartment
₹2.7 - 2.76 Cr
4 BHK Apartment
₹3.7 Cr","Nearby :
REVA University
Delhi Public School Bangalore North
+3"
"Assetz Meru and Meadow
NEW BOOKING","3, 4 BHK Apartment in Kanakapura, Kanakapura Road","3 BHK Apartment
₹2.65 - 2.96 Cr
4 BHK Apartment
₹4.54 Cr","Nearby :
Doddakallasandra Metro Station
Purva Zentech Business Park
+3"
"HM Scottsville
NEW BOOKING","2, 3 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹1.77 - 2.33 Cr
3 BHK Apartment
₹2.14 - 2.54 Cr","Nearby :
Amrita Vishwa Vidyapeetam
BRS Global School
+3"
